"year","sl_no","category","states_ut","murder_with_rape","dowry_deaths","abetment_to_suicide_of_women","miscarriage","acid_attack","attempt_to_acid_attack","cruelty_by_husband_or_his_relatives","kidnapping","human_trafficking","selling_of_minor_girls","buying_of_minor_girls","rape_total","rape_18yearsabove","rape_18yearsbelow","assault_on_women_with_intent_to_outrage_her_modesty","dowry_prohibition_act","immoral_traffic_prevention_act","cyber_crimes","protection_of_children_from_sexual_violence_act","total_crime_against_women"
2020,15,"State","Manipur",2,1,2,0,0,0,7,49,2,0,0,32,5,0,61,0,0,3,74,247
2020,16,"State","Meghalaya",2,1,0,0,2,0,17,29,0,0,0,67,17,2,86,0,0,9,320,568
2020,17,"State","Mizoram",0,0,0,0,0,0,7,1,0,0,0,33,1,0,26,0,0,1,100,172
2020,18,"State","Nagaland",0,1,0,0,0,0,2,6,0,0,0,4,0,0,7,0,0,0,17,39
2020,19,"State","Odisha",18,320,16,2,6,0,3659,3775,56,0,0,1211,144,0,12605,312,19,526,2202,25489
2020,20,"State","Punjab",5,63,176,7,2,1,1271,1241,2,0,0,502,27,26,731,7,11,41,697,4838
2020,21,"State","Rajasthan",8,479,190,1,2,0,13765,4739,2,0,0,5310,887,78,8661,4,67,31,226,34535
2020,22,"State","Sikkim",0,0,0,0,0,0,1,11,0,0,0,12,1,0,18,0,0,0,97,140
2020,23,"State","Tamil Nadu",3,40,247,0,0,1,689,633,4,0,0,389,15,0,892,207,231,188,3057,6630
2020,24,"State","Telangana",14,158,397,0,3,0,7453,1314,52,0,0,764,32,3,4907,4,13,45,2067,17791
2020,25,"State","Tripura",2,23,23,3,2,0,356,110,0,0,0,79,13,0,115,0,0,3,142,874
2020,26,"State","Uttar Pradesh",31,2274,379,85,21,4,14454,9109,6,0,0,2769,188,63,9864,3031,25,338,6716,49385
2020,27,"State","Uttarakhand",0,65,10,0,1,0,668,349,5,0,0,487,12,0,474,140,8,27,557,2846
2020,28,"State","West Bengal",9,522,485,26,29,5,19962,7740,25,2,0,1128,872,0,2488,0,52,24,2623,36439
2020,29,"State","A&N Islands",0,0,1,0,0,0,2,1,1,0,0,2,1,0,15,0,0,1,116,143
2020,30,"UT","Chandigarh",0,1,1,0,1,0,96,90,2,0,0,60,1,2,42,0,0,1,0,301
2020,31,"UT","D&N Haveli and Daman & Diu",0,1,1,0,0,0,4,0,1,0,0,4,0,0,6,0,0,0,41,61
2020,32,"UT","Delhi",1,110,44,2,2,3,2557,2938,12,0,0,997,7,2,1840,14,3,13,1130,10093
2020,33,"UT","Jammu & Kashmir",0,9,24,0,0,0,349,775,0,0,0,243,9,1,1744,2,0,16,195,3405
2020,34,"UT","Ladakh",0,0,0,0,0,0,3,0,0,0,0,2,0,0,4,0,0,0,0,9
2020,35,"UT","Lakshadweep",0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,1,7,15
2020,36,"UT","Puducherry",0,2,0,0,0,0,9,0,0,0,0,8,0,0,25,4,0,0,65,113
2021,1,"State","Andhra Pradesh",2,108,397,13,2,5,7092,613,71,0,0,1188,574,614,5108,11,70,73,466,17752
2021,2,"State","Arunachal Pradesh",0,0,1,0,0,0,112,50,0,0,0,83,29,54,74,0,0,5,21,366
2021,3,"State","Assam",46,198,82,14,7,3,12950,5739,68,0,0,1733,1730,3,4499,582,22,432,1925,29046
2021,4,"State","Bihar",0,1000,5,0,1,1,2069,8661,15,1,0,786,786,0,387,3362,32,5,1561,17950
2021,5,"State","Chhattisgarh",8,65,125,0,0,0,963,1158,14,0,0,1093,1093,0,1248,8,3,91,2321,7344
2021,6,"State","Goa",0,0,0,0,0,0,1,39,14,0,0,72,25,47,74,0,1,3,0,224
2021,7,"State","Gujarat",7,11,384,6,6,6,2271,881,10,0,0,589,582,7,660,3,38,44,2424,7348
2021,8,"State","Haryana",11,275,201,14,6,0,5755,2958,15,3,0,1716,1716,0,2882,18,28,98,2150,16658
2021,9,"State","Himachal Pradesh",0,2,51,0,0,0,221,344,1,0,0,358,143,215,487,0,6,23,8,1599
2021,10,"State","Jharkhand",20,281,40,3,0,0,931,1159,35,0,0,1425,1130,295,1335,1805,3,21,792,8110
2021,11,"State","Karnataka",18,158,296,5,1,1,2336,906,8,0,0,555,555,0,5105,1845,190,172,2796,14468
2021,12,"State","Kerala",2,9,25,1,1,3,4997,179,60,0,0,771,771,0,4059,39,5,177,2374,13539
2021,13,"State","Madhya Pradesh",35,522,758,12,5,0,7929,6106,52,3,1,2947,2947,0,5760,44,15,63,6012,30673
2021,14,"State","Maharashtra",23,172,927,26,3,3,10095,7559,270,1,0,2496,2468,28,10568,40,95,88,6116,39526
2021,15,"State","Manipur",0,2,1,0,0,0,18,44,1,0,0,26,26,0,92,0,0,3,96,302
2021,16,"State","Meghalaya",4,0,1,1,0,0,21,42,1,0,0,75,74,1,92,0,3,11,384,685
2021,17,"State","Mizoram",0,0,0,0,0,0,11,0,0,0,0,26,24,2,31,0,0,5,102,176
2021,18,"State","Nagaland",0,0,0,0,0,0,2,5,0,0,0,4,4,0,11,0,0,0,31,54
2021,19,"State","Odisha",12,293,27,2,3,0,4889,5175,93,0,0,1456,1456,0,14853,465,31,565,2496,31352
2021,20,"State","Punjab",4,69,190,3,3,1,1714,1616,2,0,0,464,454,10,678,14,12,70,723,5662
2021,21,"State","Rajasthan",14,452,193,1,3,1,16949,5964,3,0,0,6337,4885,1452,9079,4,40,51,580,40738
2021,22,"State","Sikkim",1,0,2,0,0,0,3,1,0,0,0,8,8,0,17,0,0,0,98,130
2021,23,"State","Tamil Nadu",5,27,244,3,1,2,875,638,1,0,0,422,422,0,1077,281,381,75,4415,8501
2021,24,"State","Telangana",12,175,403,1,1,1,9468,1934,115,0,0,823,823,0,4365,5,12,47,2692,20865
2021,25,"State","Tripura",1,22,17,0,0,0,355,115,1,0,0,61,61,0,94,0,0,1,124,807
2021,26,"State","Uttar Pradesh",48,2222,376,63,18,5,18375,10574,6,0,1,2845,2589,256,9393,4594,12,276,6970,56083
2021,27,"State","Uttarakhand",0,72,12,1,2,1,519,402,1,2,0,534,534,0,655,414,17,64,689,3431
2021,28,"State","West Bengal",5,454,456,24,30,11,19952,7376,30,2,0,1123,1123,0,2485,0,50,14,2569,35884
2021,29,"State","A&N Islands",0,1,3,0,0,0,4,0,0,0,0,15,15,32,4,0,0,1,107,169
2021,30,"UT","Chandigarh",1,4,1,0,0,0,95,120,1,0,0,74,28,37,6,1,0,2,1,343
2021,31,"UT","D&N Haveli and Daman & Diu",3,0,0,0,0,0,6,23,0,0,0,3,3,7,0,0,0,4,53,99
2021,32,"UT","Delhi",2,141,40,3,8,2,4731,4083,24,0,0,1250,1250,2068,417,16,4,104,1374,14277
2021,33,"UT","Jammu & Kashmir",0,16,28,0,1,2,501,904,2,0,0,315,313,1851,10,4,1,9,278,3937
2021,34,"UT","Ladakh",0,0,0,0,0,0,9,1,0,0,0,2,1,5,1,0,0,0,0,18
2021,35,"UT","Lakshadweep",0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,4,9
2021,36,"UT","Puducherry",0,2,6,0,0,0,12,0,0,0,0,2,2,31,3,13,0,0,84,153
